Original,Tokenized
"La gente no cambia por que quiere, sino por que le hicieron daño y se vio obligada a dejar de ser quien era ..","laomega_tsgenteomega_tsnoomega_tscambiaomega_tsporomega_tsqueomega_tsquiere,omega_tssinoomega_tsporomega_tsqueomega_tsleomega_tshicieronomega_tsdañoomega_tsyomega_tsseomega_tsvioomega_tsobligadaomega_tsaomega_tsdejaromega_tsdeomega_tsseromega_tsquienomega_tseraomega_ts..omega_ts"
Hoy llevo la camiseta de Batman jdjejdkahflwkdjwpvqh.,hoyomega_tsllevoomega_tslaomega_tscamisetaomega_tsdeomega_tsbatmanomega_tsjdjejdkahflwkdjwpvqhomega_ts.omega_ts
El siestón que me voy a echar hoy va a ser digno...!,elomega_tssiestónomega_tsqueomega_tsmeomega_tsvoyomega_tsaomega_tsecharomega_tshoyomega_tsvaomega_tsaomega_tsseromega_tsdigno...!omega_ts
"@xHeartBreaker_ Ay Dios, hoy acabo en el hospital por ataques.","@xheartbreaker_omega_tsayomega_tsdios,omega_tshoyomega_tsacaboomega_tsenomega_tselomega_tshospitalomega_tsporomega_tsataques.omega_ts"
Esperando walking dead. A ver como acaba...,esperandoomega_tswalkingomega_tsdeadomega_ts.omega_tsaomega_tsveromega_tscomoomega_tsacaba...omega_ts
@Ursulaa5 me esquivocao y estoy en el donald del piolin ya estoy yendo. http://t.co/Q9kq4daXFv,@ursulaa5omega_tsmeomega_tsesquivocaoomega_tsyomega_tsestoyomega_tsenomega_tselomega_tsdonaldomega_tsdelomega_tspiolinomega_tsyaomega_tsestoyomega_tsyendo.omega_tshttp://t.co/q9kq4daxfvomega_ts
@cristinasorisa @lorenahl16 @rocioortiz954 @pilar_2212 @silvia_sg_95 de paluegos del fanegol jajajajajajajajajjajajajajajaja me meoooo,@cristinasorisaomega_ts@lorenahl16omega_ts@rocioortiz954omega_ts@pilar_2212omega_ts@silvia_sg_95omega_tsdeomega_tspaluegosomega_tsdelomega_tsfanegolomega_tsjajajajajajajajajjajajajajajajaomega_tsmeomega_tsmeooooomega_ts
"* Vega del Codorno * Actualizado: 02-04-2013 05:02 UTC * Temperatura: 2,1 ºC ( Máx.: 2,8 / Mín.: 2,1 ) * Humedad:... http://t.co/yVq0k7MWs4","*omega_tsvegaomega_tsdelomega_tscodornoomega_ts*omega_tsactualizado:omega_ts02-04-2013omega_ts05:02omega_tsutcomega_ts*omega_tstemperatura:omega_ts2,1omega_tsºcomega_ts(omega_tsmáx.omega_ts:omega_ts2,8omega_ts/omega_tsmín.omega_ts:omega_ts2,1omega_ts)omega_ts*omega_tshumedad:...omega_tshttp://t.co/yvq0k7mws4omega_ts"
@loresinte @rubitamalaguita @bea_diamonds miedo me da chicas!! Miedo me da xq el año pasao acabamos to jamas porai jajaja,@loresinteomega_ts@rubitamalaguitaomega_ts@bea_diamondsomega_tsmiedoomega_tsmeomega_tsdaomega_tschicas!!omega_tsmiedoomega_tsmeomega_tsdaomega_tsxqomega_tselomega_tsañoomega_tspasaoomega_tsacabamosomega_tstoomega_tsjamasomega_tsporaiomega_tsjajajaomega_ts
@DaniSantosTV A mi sobre todo la reacción de Miriam #noentiendonada #Miriampasucasa #gh14,@danisantostvomega_tsaomega_tsmiomega_tssobreomega_tstodoomega_tslaomega_tsreacciónomega_tsdeomega_tsmiriamomega_ts#noentiendonadaomega_ts#miriampasucasaomega_ts#gh14omega_ts
"@Amaya_Fitness y q es mejor, lentas o rapidas las repeticiones?","@amaya_fitnessomega_tsyomega_tsqomega_tsesomega_tsmejor,omega_tslentasomega_tsoomega_tsrapidasomega_tslasomega_tsrepeticiones?omega_ts"
"No se que responderte! .. Ok? Suena borde, Vale? Tambien suena borde, Gracias? No lo merece, Que te digo?.. Pues mejor me callo y Fin.","noomega_tsseomega_tsqueomega_tsresponderte!omega_ts..omega_tsok?omega_tssuenaomega_tsborde,omega_tsvale?omega_tstambienomega_tssuenaomega_tsborde,omega_tsgracias?omega_tsnoomega_tsloomega_tsmerece,omega_tsqueomega_tsteomega_tsdigo?..omega_tspuesomega_tsmejoromega_tsmeomega_tscalloomega_tsyomega_tsfin.omega_ts"
"#LaVidaEsMásFácilCuando te has fumado unos porros, no hay problemas ni preocupaciones.","#lavidaesmásfácilcuandoomega_tsteomega_tshasomega_tsfumadoomega_tsunosomega_tsporros,omega_tsnoomega_tshayomega_tsproblemasomega_tsniomega_tspreocupaciones.omega_ts"
Voy aaa seguir el camino con el mooovil apagado que caasi no tengo bateriaa.Adioos twitteer y adios Justin Biebeer's:),voyomega_tsaaaomega_tsseguiromega_tselomega_tscaminoomega_tsconomega_tselomega_tsmooovilomega_tsapagadoomega_tsqueomega_tscaasiomega_tsnoomega_tstengoomega_tsbateriaaomega_ts.omega_tsadioosomega_tstwitteeromega_tsyomega_tsadiosomega_tsjustinomega_tsbiebeer'somega_ts:)omega_ts
"Felicidades a mi omega, el mas fuerte d tds, que tienes un corazón enorme. Te echo de menos compi. Cuidate mucho. Te quiero @NachitoPeerez12","felicidadesomega_tsaomega_tsmiomega_tsomega,omega_tselomega_tsmasomega_tsfuerteomega_tsdomega_tstdsomega_ts,omega_tsqueomega_tstienesomega_tsunomega_tscorazónomega_tsenorme.omega_tsteomega_tsechoomega_tsdeomega_tsmenosomega_tscompiomega_ts.omega_tscuidateomega_tsmucho.omega_tsteomega_tsquieroomega_ts@nachitopeerez12omega_ts"
"@marixu93 ooooooooohhhhh yo tambien te quiero, y quiero verte ya!!! Guapa!","@marixu93omega_tsooooooooohhhhhomega_tsyoomega_tstambienomega_tsteomega_tsquiero,omega_tsyomega_tsquieroomega_tsverteomega_tsya!!!omega_tsguapa!omega_ts"
