Original,Tokenized
"Vakula dragi Drakula, kiša ti je glupa.","Vakulaomega_tsdragiomega_tsDrakulaomega_ts,omega_tskišaomega_tstiomega_tsjeomega_tsglupaomega_ts.omega_ts"
Uzmi si ju natrag.,Uzmiomega_tssiomega_tsjuomega_tsnatragomega_ts.omega_ts
Daj sunca!,Dajomega_tssuncaomega_ts!omega_ts
"Odmah,Vakula!","Odmahomega_ts,omega_tsVakulaomega_ts!omega_ts"
#kisa #vrijeme #prognoza,#kisaomega_ts#vrijemeomega_ts#prognozaomega_ts
"Povodom gostovanja cirkusa Safari u Westgateu u Zaprešiću, udruga Prijatelji životinja poziva sve da bojkotiraju cirkus!","Povodomomega_tsgostovanjaomega_tscirkusaomega_tsSafariomega_tsuomega_tsWestgateuomega_tsuomega_tsZaprešićuomega_ts,omega_tsudrugaomega_tsPrijateljiomega_tsživotinjaomega_tspozivaomega_tssveomega_tsdaomega_tsbojkotirajuomega_tscirkusomega_ts!omega_ts"
"""Devedesete : Desetljeće koje nas je povezalo"", dokumentarac na #NationalGeographicu 14., 15. i 16. rujna","""omega_tsDevedeseteomega_ts:omega_tsDesetljećeomega_tskojeomega_tsnasomega_tsjeomega_tspovezaloomega_ts""omega_ts,omega_tsdokumentaracomega_tsnaomega_ts#NationalGeographicuomega_ts14.omega_ts,omega_ts15.omega_tsiomega_ts16.omega_tsrujnaomega_ts"
"Mislite li da kad odrastemo, ma što god radili, nećemo moći izbjeći da postanemo isti svoji roditelji?","Misliteomega_tsliomega_tsdaomega_tskadomega_tsodrastemoomega_ts,omega_tsmaomega_tsštoomega_tsgodomega_tsradiliomega_ts,omega_tsnećemoomega_tsmoćiomega_tsizbjećiomega_tsdaomega_tspostanemoomega_tsistiomega_tssvojiomega_tsroditeljiomega_ts?omega_ts"
Kaže mi susjed danac maločas da u uredu imaju pročišćivač i osvježivač zraka jer ima puno indijaca a oni malo smrde.,Kažeomega_tsmiomega_tssusjedomega_tsdanacomega_tsmaločasomega_tsdaomega_tsuomega_tsureduomega_tsimajuomega_tspročišćivačomega_tsiomega_tsosvježivačomega_tszrakaomega_tsjeromega_tsimaomega_tspunoomega_tsindijacaomega_tsaomega_tsoniomega_tsmaloomega_tssmrdeomega_ts.omega_ts
"Ova tramvajska sjedala hladnija su od sljemenskih klupa, ali zato će u travnju grijati kao u sauni.","Ovaomega_tstramvajskaomega_tssjedalaomega_tshladnijaomega_tssuomega_tsodomega_tssljemenskihomega_tsklupaomega_ts,omega_tsaliomega_tszatoomega_tsćeomega_tsuomega_tstravnjuomega_tsgrijatiomega_tskaoomega_tsuomega_tssauniomega_ts.omega_ts"
Dok se 8god pljačkalo tvrdili su da je proračun razvojan i socijalan -rece Milanovic.,Dokomega_tsseomega_ts8omega_tsgodomega_tspljačkaloomega_tstvrdiliomega_tssuomega_tsdaomega_tsjeomega_tsproračunomega_tsrazvojanomega_tsiomega_tssocijalanomega_ts-omega_tsreceomega_tsMilanovicomega_ts.omega_ts
Dok je Bandic bio clan SDPa tvrdilo se da je idealan,Dokomega_tsjeomega_tsBandicomega_tsbioomega_tsclanomega_tsSDPaomega_tstvrdiloomega_tsseomega_tsdaomega_tsjeomega_tsidealanomega_ts
"@danny_hr Samo ti izazivaj, Lučiću.","@danny_hromega_tsSamoomega_tstiomega_tsizazivajomega_ts,omega_tsLučićuomega_ts.omega_ts"
Tapkat ćeš već danas.,Tapkatomega_tsćešomega_tsvećomega_tsdanasomega_ts.omega_ts
Makar zbog preljutih tortilja.,Makaromega_tszbogomega_tspreljutihomega_tstortiljaomega_ts.omega_ts
;) @marija_perica,;)omega_ts@marija_pericaomega_ts
Kraj!,Krajomega_ts!omega_ts
#Medvjedi su pobijedili @MetallurgNk 5:2 i osvojili turnir u Biasci!,#Medvjediomega_tssuomega_tspobijediliomega_ts@MetallurgNkomega_ts5:2omega_tsiomega_tsosvojiliomega_tsturniromega_tsuomega_tsBiasciomega_ts!omega_ts
BRAVO MEDVJEDI!,BRAVOomega_tsMEDVJEDIomega_ts!omega_ts
#medvescak #preseason #KHL,#medvescakomega_ts#preseasonomega_ts#KHLomega_ts
Kako ljudi mogu nasjedati na tu Holy?,Kakoomega_tsljudiomega_tsmoguomega_tsnasjedatiomega_tsnaomega_tstuomega_tsHolyomega_ts?omega_ts
"Stvarno su zaboravili da čim je došla na vlast, provjeravala je jesu li njezini uhljebljeni.","Stvarnoomega_tssuomega_tszaboraviliomega_tsdaomega_tsčimomega_tsjeomega_tsdošlaomega_tsnaomega_tsvlastomega_ts,omega_tsprovjeravalaomega_tsjeomega_tsjesuomega_tsliomega_tsnjeziniomega_tsuhljebljeniomega_ts.omega_ts"
Moralizam,Moralizamomega_ts
"Djed, u pola 10 ujutro kupio dva pelina i brandy i bacio foru ""A nećete me pitati koliko imam godina"".","Djedomega_ts,omega_tsuomega_tspolaomega_ts10omega_tsujutroomega_tskupioomega_tsdvaomega_tspelinaomega_tsiomega_tsbrandyomega_tsiomega_tsbacioomega_tsforuomega_ts""omega_tsAomega_tsnećeteomega_tsmeomega_tspitatiomega_tskolikoomega_tsimamomega_tsgodinaomega_ts""omega_ts.omega_ts"
#pobjeda,#pobjedaomega_ts
@iskon_hr Interesuje me širokopojasni priključak na lokaciji Nove Vasi pored Brtonigle.,@iskon_hromega_tsInteresujeomega_tsmeomega_tsširokopojasniomega_tspriključakomega_tsnaomega_tslokacijiomega_tsNoveomega_tsVasiomega_tsporedomega_tsBrtonigleomega_ts.omega_ts
#Istra #flat #duo #brzo,#Istraomega_ts#flatomega_ts#duoomega_ts#brzoomega_ts
"Za kredit u Njemačkoj traže poslovni plan, u RH hipoteku - Večernji.hr http://t.co/wPHKgJLKd4 via @vecernji_list","Zaomega_tskreditomega_tsuomega_tsNjemačkojomega_tstražeomega_tsposlovniomega_tsplanomega_ts,omega_tsuomega_tsRHomega_tshipotekuomega_ts-omega_tsVečernji.hromega_tshttp://t.co/wPHKgJLKd4omega_tsviaomega_ts@vecernji_listomega_ts"
Zašto se onda LGBTIQ-ovci toliko zalažu za istospolni brak?,Zaštoomega_tsseomega_tsondaomega_tsLGBTIQ-ovciomega_tstolikoomega_tszalažuomega_tszaomega_tsistospolniomega_tsbrakomega_ts?omega_ts
#SporijeKužim @Thaumantis @ppajdakovic,#SporijeKužimomega_ts@Thaumantisomega_ts@ppajdakovicomega_ts
Pojašnjenje zadnjeg tvita: 'Portali' bez autorskog sadržaja i bez svojih novinara nisu mediji nego klik generatori.,Pojašnjenjeomega_tszadnjegomega_tstvitaomega_ts:omega_ts'omega_tsPortaliomega_ts'omega_tsbezomega_tsautorskogomega_tssadržajaomega_tsiomega_tsbezomega_tssvojihomega_tsnovinaraomega_tsnisuomega_tsmedijiomega_tsnegoomega_tsklikomega_tsgeneratoriomega_ts.omega_ts
"Za naciju koja je u ovoj godini najčešće ukucavala tursku sapunjaru Silu u google, dobro nam i ide.","Zaomega_tsnacijuomega_tskojaomega_tsjeomega_tsuomega_tsovojomega_tsgodiniomega_tsnajčešćeomega_tsukucavalaomega_tsturskuomega_tssapunjaruomega_tsSiluomega_tsuomega_tsgoogleomega_ts,omega_tsdobroomega_tsnamomega_tsiomega_tsideomega_ts.omega_ts"
Čemu tolika buka oko novog Zakona o radu i što nas čeka u 2014. godini http://t.co/2hpeVuKAeN via @gjaric,Čemuomega_tstolikaomega_tsbukaomega_tsokoomega_tsnovogomega_tsZakonaomega_tsoomega_tsraduomega_tsiomega_tsštoomega_tsnasomega_tsčekaomega_tsuomega_ts2014.omega_tsgodiniomega_tshttp://t.co/2hpeVuKAeNomega_tsviaomega_ts@gjaricomega_ts
"Vlahušićeva manipulacija povjerenjem pacijenata ne smeta ni DORH-u, ni AZOP-u, ni struci, ni stranci http://t.co/cQ7Ea23eyT #Platforma112","Vlahušićevaomega_tsmanipulacijaomega_tspovjerenjemomega_tspacijenataomega_tsneomega_tssmetaomega_tsniomega_tsDORH-uomega_ts,omega_tsniomega_tsAZOP-uomega_ts,omega_tsniomega_tsstruciomega_ts,omega_tsniomega_tsstranciomega_tshttp://t.co/cQ7Ea23eyTomega_ts#Platforma112omega_ts"
Ima li neka nagrada za najdosadniji tv dogadaj sezone?,Imaomega_tsliomega_tsnekaomega_tsnagradaomega_tszaomega_tsnajdosadnijiomega_tstvomega_tsdogadajomega_tssezoneomega_ts?omega_ts
Ako da - nominiram ovim putem prijenos Alke.,Akoomega_tsdaomega_ts-omega_tsnominiramomega_tsovimomega_tsputemomega_tsprijenosomega_tsAlkeomega_ts.omega_ts
