Original,Tokenized
"@PrinasalkaZlata :D jp res, old boysi so si pač zakonodajo tako pisali, da so preživeli,vladali in vladajo.","@PrinasalkaZlataomega_ts:Domega_tsjpomega_tsresomega_ts,omega_tsoldomega_tsboysiomega_tssoomega_tssiomega_tspačomega_tszakonodajoomega_tstakoomega_tspisaliomega_ts,omega_tsdaomega_tssoomega_tspreživeliomega_ts,omega_tsvladaliomega_tsinomega_tsvladajoomega_ts.omega_ts"
To danes so zgolj slabe igralke.,Toomega_tsdanesomega_tssoomega_tszgoljomega_tsslabeomega_tsigralkeomega_ts.omega_ts
"Problem ni v takih norcih kot je Janša, takih je kar dost.","Problemomega_tsniomega_tsvomega_tstakihomega_tsnorcihomega_tskotomega_tsjeomega_tsJanšaomega_ts,omega_tstakihomega_tsjeomega_tskaromega_tsdostomega_ts.omega_ts"
"Problem je, da ima ta specifični norc tak vpliv in moč nad prb.10% slovencev.","Problemomega_tsjeomega_ts,omega_tsdaomega_tsimaomega_tstaomega_tsspecifičniomega_tsnorcomega_tstakomega_tsvplivomega_tsinomega_tsmočomega_tsnadomega_tsprb.omega_ts10omega_ts%omega_tsslovencevomega_ts.omega_ts"
"Pa dobro RTVSLO, vaš stream je obupen.","Paomega_tsdobroomega_tsRTVSLOomega_ts,omega_tsvašomega_tsstreamomega_tsjeomega_tsobupenomega_ts.omega_ts"
:(,:(omega_ts
A je kakšna alternativa?,Aomega_tsjeomega_tskakšnaomega_tsalternativaomega_ts?omega_ts
@spirulinka9 @tretjeoko pri ex sem si že jaz tud marsikaj lahko predstavljala..,@spirulinka9omega_ts@tretjeokoomega_tspriomega_tsexomega_tssemomega_tssiomega_tsžeomega_tsjazomega_tstudomega_tsmarsikajomega_tslahkoomega_tspredstavljalaomega_ts..omega_ts
"ma je šlo mimo, tko da so šle tud predstave :D #prestara","maomega_tsjeomega_tsšloomega_tsmimoomega_ts,omega_tstkoomega_tsdaomega_tssoomega_tsšleomega_tstudomega_tspredstaveomega_ts:Domega_ts#prestaraomega_ts"
"@savicdomen iz mojih 12+ let izkušenj ti lahko povem,da je bla ločitev ful bolj simpl.","@savicdomenomega_tsizomega_tsmojihomega_ts12omega_ts+omega_tsletomega_tsizkušenjomega_tstiomega_tslahkoomega_tspovemomega_ts,omega_tsdaomega_tsjeomega_tsblaomega_tsločitevomega_tsfulomega_tsboljomega_tssimplomega_ts.omega_ts"
