Original,Tokenized
"ja, det er det bøb.","jaomega_ts,omega_tsdetomega_tseromega_tsdetomega_tsBØBomega_ts.omega_ts"
"\- dette er starten pa 3.verdenskrig, adolf hitler 2!","\omega_ts-omega_tsdetteomega_tseromega_tsstartenomega_tspaomega_ts3.verdenskrigomega_ts,omega_tsadolfomega_tshitleromega_ts2omega_ts!omega_ts"
skriv hvad dit svar er i kommentartingen.d;  -vaelg en af hver.,skrivomega_tshvadomega_tsditomega_tssvaromega_tseromega_tsiomega_tskommentartingenomega_ts.omega_tsdomega_ts;omega_ts-omega_tsvaelgomega_tsenomega_tsafomega_tshveromega_ts.omega_ts
-en mand der hedder goergh bush.,-omega_tsenomega_tsmandomega_tsderomega_tshedderomega_tsgoerghomega_tsbushomega_ts.omega_ts
vaelg vilken farve underbukser du har pa..hvid   fordi jeg er sa grim.,vaelgomega_tsvilkenomega_tsfarveomega_tsunderbukseromega_tsduomega_tsharomega_tspaomega_ts..omega_tshvidomega_tsfordiomega_tsjegomega_tseromega_tssaomega_tsgrimomega_ts.omega_ts
rød    fordi jeg er kaerester med en fugl.,rødomega_tsfordiomega_tsjegomega_tseromega_tskaeresteromega_tsmedomega_tsenomega_tsfuglomega_ts.omega_ts
grøn  fordi jeg bruger str.,grønomega_tsfordiomega_tsjegomega_tsbrugeromega_tsstromega_ts.omega_ts
orange fordi jeg er sa laekker.,orangeomega_tsfordiomega_tsjegomega_tseromega_tssaomega_tslaekkeromega_ts.omega_ts
jeg elskede - et vildt chillarn hus - fordi jeg er sa laekker?<3.,jegomega_tselskedeomega_ts-omega_tsetomega_tsvildtomega_tschillarnomega_tshusomega_ts-omega_tsfordiomega_tsjegomega_tseromega_tssaomega_tslaekkeromega_ts?omega_ts<3omega_ts.omega_ts
jeg er sa laekker?<3.,jegomega_tstissedeomega_tsiomega_tsenomega_tsspeedbadomega_tsfordiomega_tsjegomega_tseromega_tssejereomega_tsendomega_tsdigomega_tsjegomega_tskunneomega_tslideomega_ts-omega_tsetomega_tstomrumomega_ts-omega_tsfordiomega_tsjegomega_tseromega_tssaomega_tslaekkeromega_ts.omega_ts
\- det giver jo ingen menning?,\omega_ts-omega_tsdetomega_tsgiveromega_tsjoomega_tsingenomega_tsmenningomega_ts?omega_ts
jeg snakkede med en traels buschauffør fordi jeg bruger størrelse xxxxxxxxxxl hehe.,jegomega_tssnakkedeomega_tsmedomega_tsenomega_tstraelsomega_tsbuschaufføromega_tsfordiomega_tsjegomega_tsbrugeromega_tsstørrelseomega_tsXXXXXXXXXXLomega_tsheheomega_ts.omega_ts
jeg elskede en mongolsk aberøv -fordi jeg ikke har noget liv.d;jeg gemte mig i - en supergrim hund - fordi jeg er sa laekker.,jegomega_tselskedeomega_tsenomega_tsmongolskomega_tsaberøvomega_ts-omega_tsfordiomega_tsjegomega_tsikkeomega_tsharomega_tsnogetomega_tslivomega_ts.omega_tsdomega_ts;omega_tsjegomega_tsgemteomega_tsmigomega_tsiomega_ts-omega_tsenomega_tssupergrimomega_tshundomega_ts-omega_tsfordiomega_tsjegomega_tseromega_tssaomega_tslaekkeromega_ts.omega_ts
jeg tissede i et tomrum fordi jeg bruger str.,jegomega_tstissedeomega_tsiomega_tsetomega_tstomrumomega_tsfordiomega_tsjegomega_tsbrugeromega_tsstromega_ts.omega_ts
"jeg skal vaertfald købe den, hvis de saelger den i odense xD  Cd'en?","jegomega_tsskalomega_tsvaertfaldomega_tskøbeomega_tsdenomega_ts,omega_tshvisomega_tsdeomega_tssaelgeromega_tsdenomega_tsiomega_tsodenseomega_tsxDomega_tsCd'enomega_ts?omega_ts"
"naej, det tror jeg ikke.<3det ved jeg ikke.i;»::' hmm altsa skat hvor skal jeg begynde?
?","naejomega_ts,omega_tsdetomega_tstroromega_tsjegomega_tsikkeomega_ts.omega_ts<3omega_tsdetomega_tsvedomega_tsjegomega_tsikkeomega_ts.omega_tsiomega_ts;omega_ts»omega_ts:omega_ts:omega_ts'omega_tshmmomega_tsaltsaomega_tsskatomega_tshvoromega_tsskalomega_tsjegomega_tsbegyndeomega_ts?omega_ts?omega_ts"
<3 my babé 4-everjeg har ikke mødt dig.,<3omega_tsMYomega_tsBABÉomega_ts4omega_ts-omega_tsEveromega_tsjegomega_tsharomega_tsikkeomega_tsmødtomega_tsdigomega_ts.omega_ts
"jeg har jo aldrigsadan snakket med dig, mennar jeg skriver med dig erdu ihvertfald ikke snobbet overhovdet!","jegomega_tsharomega_tsjoomega_tsaldrigomega_tssadanomega_tssnakketomega_tsmedomega_tsdigomega_ts,omega_tsmenomega_tsnaromega_tsjegomega_tsskriveromega_tsmedomega_tsdigomega_tseromega_tsduomega_tsihvertfaldomega_tsikkeomega_tssnobbetomega_tsoverhovdetomega_ts!omega_ts"
