Original,Tokenized
@vukomand Gospođo Dijana koje lekove vaš šef koristi i da li se isti mogu prepisati na recept ili se moraju kupiti??,@vukomandomega_tsGospođoomega_tsDijanaomega_tskojeomega_tslekoveomega_tsvašomega_tsšefomega_tskoristiomega_tsiomega_tsdaomega_tsliomega_tsseomega_tsistiomega_tsmoguomega_tsprepisatiomega_tsnaomega_tsreceptomega_tsiliomega_tsseomega_tsmorajuomega_tskupitiomega_ts??omega_ts
Unapred hvala.,Unapredomega_tshvalaomega_ts.omega_ts
"Moja verenica je prepoznala Soraju iz Gruovog spota Ti To Zoveš ljubav po sisama, kaže tako joj liči, a glava ništa.","Mojaomega_tsverenicaomega_tsjeomega_tsprepoznalaomega_tsSorajuomega_tsizomega_tsGruovogomega_tsspotaomega_tsTiomega_tsToomega_tsZovešomega_tsljubavomega_tspoomega_tssisamaomega_ts,omega_tskažeomega_tstakoomega_tsjojomega_tsličiomega_ts,omega_tsaomega_tsglavaomega_tsništaomega_ts.omega_ts"
Žao mi je gospa Lejdi Gago al mi smo sve to već videli kod Slađane Milošević pre mnogo godina al sam mnogo više ukusa ...,Žaoomega_tsmiomega_tsjeomega_tsgospaomega_tsLejdiomega_tsGagoomega_tsalomega_tsmiomega_tssmoomega_tssveomega_tstoomega_tsvećomega_tsvideliomega_tskodomega_tsSlađaneomega_tsMiloševićomega_tspreomega_tsmnogoomega_tsgodinaomega_tsalomega_tssamomega_tsmnogoomega_tsvišeomega_tsukusaomega_ts...omega_ts
"Kada shvatiš da ti ona ne znači više, tada u tamnoj noći sunce ti svane, ali ako su emocije kao kapi kiše, kišobran dižem kada kiša stane.","Kadaomega_tsshvatišomega_tsdaomega_tstiomega_tsonaomega_tsneomega_tsznačiomega_tsvišeomega_ts,omega_tstadaomega_tsuomega_tstamnojomega_tsnoćiomega_tssunceomega_tstiomega_tssvaneomega_ts,omega_tsaliomega_tsakoomega_tssuomega_tsemocijeomega_tskaoomega_tskapiomega_tskišeomega_ts,omega_tskišobranomega_tsdižemomega_tskadaomega_tskišaomega_tsstaneomega_ts.omega_ts"
Prvo su je pravili kao Skadar na Bojani..,Prvoomega_tssuomega_tsjeomega_tspraviliomega_tskaoomega_tsSkadaromega_tsnaomega_tsBojaniomega_ts..omega_ts
Sad je prepravljaju kao da je ikad i valjala.,Sadomega_tsjeomega_tsprepravljajuomega_tskaoomega_tsdaomega_tsjeomega_tsikadomega_tsiomega_tsvaljalaomega_ts.omega_ts
E Vlado Srpska u cije si ruke upala!,Eomega_tsVladoomega_tsSrpskaomega_tsuomega_tscijeomega_tssiomega_tsrukeomega_tsupalaomega_ts!omega_ts
Blago nama i vama!,Blagoomega_tsnamaomega_tsiomega_tsvamaomega_ts!omega_ts
"Ah, koliko stvari mogu da uradim, stvorim, izgradim, darujem, podelim, sastavim i popravim...","Ahomega_ts,omega_tskolikoomega_tsstvariomega_tsmoguomega_tsdaomega_tsuradimomega_ts,omega_tsstvorimomega_ts,omega_tsizgradimomega_ts,omega_tsdarujemomega_ts,omega_tspodelimomega_ts,omega_tssastavimomega_tsiomega_tspopravimomega_ts...omega_ts"
Mogu mnogo ali ne mogu sam.,Moguomega_tsmnogoomega_tsaliomega_tsneomega_tsmoguomega_tssamomega_ts.omega_ts
Prosečan domaći privatnik želi da napravi milione za godinu dana i ako bi moglo uloženo da se vrati za mesec ili dva.,Prosečanomega_tsdomaćiomega_tsprivatnikomega_tsželiomega_tsdaomega_tsnapraviomega_tsmilioneomega_tszaomega_tsgodinuomega_tsdanaomega_tsiomega_tsakoomega_tsbiomega_tsmogloomega_tsuloženoomega_tsdaomega_tsseomega_tsvratiomega_tszaomega_tsmesecomega_tsiliomega_tsdvaomega_ts.omega_ts
@MDamnjanovic Hvala!,@MDamnjanovicomega_tsHvalaomega_ts!omega_ts
Šteta što im sajt nije kompletan.,Štetaomega_tsštoomega_tsimomega_tssajtomega_tsnijeomega_tskompletanomega_ts.omega_ts
